date,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,San Antonio,Dallas,Houston,Kansas City,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta
201301010000,35.402,39.632,52.7,37.292,52.988,51.044,45.104,49.748,36.698,52.61,43.7,47.858,40.838,34.502,31.658,33.854,25.934,35.456
201301010100,33.998,36.302,50.396,36.32,51.206,48.11,42.71,47.84,34.844,52.862,43.25,47.858,40.568,33.926,32.504,32.144,26.15,33.08
201301010200,33.782,34.052,46.436,35.06,49.838,46.724,41.324,45.95,34.88,52.862,43.178,47.858,39.938,34.142,32.594,30.578,25.304,31.046
201301010300,34.286,32.486,45.14,34.61,48.794,46.472,39.956,45.662,32.702,52.628,42.026,47.264,38.192,33.674,32.216,29.102,24.998,29.552
201301010400,32.81,31.532,44.312,33.71,47.876,45.374,38.516,45.194,33.962,50.756,42.026,47.012,37.706,33.404,32.072,28.364,25.196,29.408
201301010500,33.818,30.254,43.07,33.332,47.732,44.024,39.578,43.952,32.342,49.856,41.936,47.012,36.554,33.044,31.928,28.4,26.15,29.066
201301010600,32.846,29.552,42.458,33.116,44.402,41.63,39.074,42.62,30.938,49.64,41.36,48.002,36.554,34.016,32,28.004,27.284,28.508
201301010700,33.746,28.832,42.35,31.82,46.022,42.026,40.172,42.98,31.244,49.514,41.936,48.686,36.284,34.25,31.73,27.374,27.752,28.652
201301010800,33.746,28.508,42.206,32,44.078,41.306,39.848,43.07,29.912,49.532,41.846,49.28,36.158,35.546,33.08,28.22,28.472,29.264
201301010900,33.458,28.94,40.802,32.072,43.916,40.964,38.66,42.242,30.542,50.126,40.406,49.91,36.032,35.366,32.936,28.742,28.184,30.02
201301011000,32.9,29.876,39.38,32.144,42.926,40.676,37.958,42.242,29.876,50.126,38.498,50.828,35.636,35.654,33.494,29.966,28.922,30.29
201301011100,32.792,30.362,38.786,31.568,42.152,39.938,36.05,41.378,28.922,50.702,38.012,52.232,35.51,36.014,33.818,31.514,29.282,30.524
201301011200,32.666,31.136,38.354,31.946,41.18,38.696,34.52,39.956,29.12,50.576,38.57,52.538,35.276,36.122,34.322,32.522,30.596,30.254
201301011300,33.116,30.524,38.084,31.532,41.342,38.354,34.736,39.074,28.418,50.702,38.966,53.348,35.024,36.32,34.16,32.216,31.748,29.822
201301011400,33.332,30.506,37.778,31.694,40.316,37.166,34.07,38.642,27.428,50.702,39.29,54.086,35.132,36.41,34.412,33.692,32.342,34.034
201301011500,32.738,31.37,37.886,32.234,41.09,39.02,34.286,39.02,27.896,51.728,40.568,55.688,33.152,35.474,34.97,35.312,32.936,39.38
201301011600,32.954,31.856,37.076,32.378,43.07,41.774,36.572,42.404,28.85,53.006,41.45,57.272,32.36,34.412,34.844,37.544,33.962,44.708
201301011700,33.8,32.216,42.71,33.08,48.722,48.182,39.182,45.284,30.2,54.626,41.846,58.586,32.234,33.584,34.376,39.29,35.33,48.02
201301011800,34.448,33.098,47.318,34.538,52.52,51.224,42.296,47.354,32.162,56.444,43.07,58.568,31.694,33.98,33.53,40.298,34.628,51.188
201301011900,34.754,33.89,48.632,35.654,53.618,54.77,43.736,49.946,33.548,58.424,44.672,59.54,31.496,34.16,32.216,40.82,32.486,51.962
201301012000,35.618,34.034,49.622,36.5,55.256,56.336,44.87,51.188,34.124,59.828,46.67,60.368,31.028,34.358,31.496,41.756,33.332,51.89
201301012100,36.392,34.484,50.18,37.022,57.074,57.722,45.86,52.79,34.61,60.026,48.326,61.466,30.47,34.484,30.218,41.756,33.44,51.602
201301012200,37.238,34.574,50.576,37.994,57.29,57.614,46.346,52.574,34.358,60.026,48.416,62.006,28.832,34.142,29.48,41.144,33.224,50.756
201301012300,36.986,34.952,51.134,38.174,57.236,57.182,45.536,53.024,32.864,60.26,48.326,63.248,28.238,33.728,27.95,40.082,32.81,49.928
201301020000,35.582,34.25,50.378,37.058,55.76,54.824,44.114,51.728,31.73,60.026,48.236,64.112,25.988,33.332,27.212,41,32.702,48.956
201301020100,34.736,33.89,48.434,35.69,53.258,52.232,41.252,48.398,29.624,59.792,48.056,65.246,25.25,33.242,26.042,41.936,32.81,48.686
201301020200,34.016,33.872,47.12,35.132,50.882,50.198,40.01,44.924,26.294,59.792,47.606,65.876,24.926,33.44,24.8,41.144,32.81,48.488
201301020300,34.448,33.53,46.094,34.34,49.172,48.02,37.508,43.394,24.854,59.792,47.534,65.966,23.504,33.368,23.198,41.306,32.486,47.93
201301020400,33.494,33.386,45.662,34.628,46.886,46.85,36.14,41.558,26.114,59.792,47.174,66.038,23.072,33.44,22.244,41.756,32.486,47.732
201301020500,33.674,32.108,43.628,34.124,46.418,45.302,33.278,39.092,25.142,59.576,46.292,66.56,23.162,32.108,20.462,41.378,31.856,46.76
201301020600,33.278,31.64,42.314,33.278,45.428,44.456,33.26,38.57,23.99,59.594,45.158,66.884,22.478,29.894,20.03,39.398,32.09,45.968
201301020700,31.712,30.92,41.846,32.702,44.852,44.06,32.864,36.77,22.226,59.36,45.14,66.416,21.686,28.166,19.616,39.29,31.19,45.374
201301020800,31.28,30.686,41.414,31.784,43.448,43.952,32.27,36.248,21.668,59.216,44.816,64.382,20.21,26.564,19.238,39.452,30.452,45.86
201301020900,31.856,30.236,40.514,32.036,42.746,43.808,31.01,34.412,20.498,58.316,44.294,62.456,20.21,25.61,18.068,40.154,30.218,46.958
201301021000,31.586,29.174,40.334,32.09,42.638,43.97,29.588,33.35,19.742,55.85,43.934,60.764,18.284,25.016,16.754,41,29.084,47.642
201301021100,33.476,29.408,40.262,31.874,42.908,43.484,29.876,32.882,18.338,54.014,42.728,58.604,16.52,23.72,16.502,41.522,28.328,48.272
201301021200,32,28.706,41.432,30.83,42.476,43.25,29.156,33.404,20.048,53.69,41.756,56.228,14.954,23.198,15.044,42.152,27.752,48.56
201301021300,31.784,28.364,41.432,30.488,42.152,42.908,29.102,31.46,18.95,53.366,40.892,54.824,14.036,22.1,13.856,41.936,26.87,48.632
201301021400,31.478,28.13,41.72,29.228,42.458,42.062,30.272,31.838,18.356,52.232,40.514,53.582,12.92,22.208,14.144,41.144,26.87,46.94
201301021500,31.154,27.662,41.54,28.724,42.548,42.782,29.39,34.7,18.302,51.368,39.776,53.384,15.854,22.37,17.348,41.144,28.256,47.174
201301021600,31.28,27.896,41.486,29.03,43.43,46.688,32.396,39.2,21.938,51.008,39.506,53.168,16.61,22.568,19.742,40.928,28.814,47.858
201301021700,31.046,29.516,44.276,30.02,48.164,50.612,35.87,44.132,24.224,51.584,39.776,53.15,18.212,23.774,22.046,39.704,28.922,49.136
201301021800,32.18,31.622,45.716,34.178,52.718,53.888,38.984,48.002,26.762,52.052,41.144,52.916,19.886,25.088,23.144,39.398,28.256,49.82
