Date,Description,Total
20170201,SUR1,100
20170205,LAB1,100
20170209,LAB2,100
20170210,HW1,100
20170216,LAB3,100
20170217,HW2,100
20170223,LAB4,100
20170224,HW3,100
20170301,SUR2,100
20170302,LAB5,100
20170303,HW4,100
20170309,LAB6,100
20170316,Midterm,100
20170317,PROJ1,100
20170318,LAB7,100
20170401,SUR3,100
20170406,LAB8,100
20170407,HW5,100
20170413,LAB9,100
20170420,LAB10,100
20170421,PROJ2,100
20170427,LAB11,100
20170428,HW6,100
20170501,SUR4,100
20170504,LAB12,100
20170511,LAB13,100
20170512,PROJ3,100
20170516,Final,100
