Email Address,Timestamp,What do you need help with today?,What is the exact question you would like answered?,How long have you yourself already spent working on this problem or question?,,TA who helped,Time Helped,Time Waited,Notes
238,9/11/17 11:01,HW/Project,Duplicates are being entered; can  t delete them either;,6 - 15 minutes,,berry,9/11/17 11:11,11:11:42,Wanted to know what tilde files were; wanted to know how to submit multiple files and check it they were correctly submitted
362,9/11/17 13:31,I need help delecting some file I created by mistake,please need help deleting some files I created by mistake;,6 - 15 minutes,,berry,9/11/17 13:33,13:33:01,Needed help deleting a file 
144,9/11/17 13:48,HW/Project,I believe i have a logic error,16 - 30 minutes,,berry,9/11/17 13:50,13:50:04,had a logic error when calculating bill for hw 1 part 6
362,9/11/17 14:05,HW/Project,have a logical error in my outputs,6 - 15 minutes,,coconut,9/11/17 14:07,14:07:13,using concatenate operator & addition in same places
586,9/11/17 14:37,Putty download,I have trouble downloading puTTy; I try following the video but parts of it do not match what it says on my laptop;,16 - 30 minutes,,coconut,9/11/17 14:38,14:38:04,needed help installing putty
504,9/11/17 15:09,HW/Project,Initiating the homework ,6 - 15 minutes,,mango,9/11/17 15:09,15:09:30,Help finding the syllabus quiz
224,9/11/17 16:29,HW/Project,Checking HW1 completion and requirements,< 5 minutes,,daikon,9/11/17 16:31,16:31:23,just wanted to check things like syntax
190,9/12/17 11:54,HW/Project,I don  t know what to do when your program carries over to the next line; I want to be sure I forwatermeloned it correctly according to the coding standards; ,6 - 15 minutes,,eggplant,9/12/17 11:55,11:55:06,wanted to know why the lines would not auto tab when using the backslash like in the coding standards
174,9/13/17 10:00,HW/Project,Comments and just making sure my programs work correctly,16 - 30 minutes,,fiddlehead,9/13/17 10:01,10:01:32,asked general questions about commenting and coding standards; Wanted his work checked
174,9/13/17 10:13,Concept,How do you check your submission went through,< 5 minutes,,watermelon,9/13/17 10:13,10:13:31,Asked about the submitls command; wanted to know how to check if submission worked correctly
564,9/13/17 13:48,HW/Project,Program is not outputting the right answer,16 - 30 minutes,,grape,9/13/17 13:56,13:56:26,Wasn  t using tax and tip as percentages 
340,9/13/17 15:46,HW/Project,My program is not letting me type anything in,< 5 minutes,,horseradish,9/13/17 15:46,15:46:38,Accidentally created a directory instead of a file; so couldn  t type in it;
274,9/14/17 10:58,HW/Project,first HW submitting help,< 5 minutes,,iceberg lettuce,9/14/17 11:01,11:01:36,Defining main and calling main in their HW
437,9/14/17 16:44,HW/Project,An odd error message keeps popping up when I try to run my code;,31 - 60 minutes,,jicama,9/14/17 16:44,16:44:29,Help with hw1 directories and files
529,9/14/17 18:23,HW/Project,I would like help in making sure Homework 1 was completed correctly,6 - 15 minutes,,kale,9/14/17 18:24,18:24:31,hw1 part 6 - taxed tip
292,9/14/17 18:51,HW/Project,I can  t seem to get my variable to print ,16 - 30 minutes,,lima,9/14/17 18:52,18:52:17,Hw1 int-ify help
511,9/14/17 18:51,HW/Project,I have a couple of simple syntax questions about using the forward slash to continue onto the next line within a program;,< 5 minutes,,lima,9/14/17 18:55,18:55:25,HW1 help with >80 char lines
229,9/15/17 10:59,HW/Project,Doing a final check with a TA on my HW1,6 - 15 minutes,,lima,9/15/17 10:59,10:59:39,HW1: wanted it to be looked over
504,9/15/17 11:03,HW/Project,Iniatiting homework 1,< 5 minutes,,mango,9/15/17 11:03,11:03:23,Setting up Putty and basic gl stuff
504,9/15/17 11:34,HW/Project,question in reference to question 1,< 5 minutes,,mango,9/15/17 11:34,11:34:15,Understanding print statements
414,9/15/17 11:44,HW/Project,For the different parts of the homework I mistakenly made them directories instead of files so I was wondering if I can change them without starting over;,> 60 minutes,,lima,9/15/17 11:44,11:44:59,Accidentally made subfolders that needed to be emptied and removed
504,9/15/17 11:50,HW/Project,Question in reference 2,< 5 minutes,,mango,9/15/17 11:50,11:50:47,help with input
