Username,Timestamp,Events,Time Spent,Time Helped,TA who helped,Time Helped,Time Waited,Notes
238,20170911,HW1,15,Duplicates are being entered; can  t delete them either;,berry,9/11/17 11:11,11:11:42,Wanted to know what tilde files were; wanted to know how to submit multiple files and check it they were correctly submitted
362,20170911,Other,15,please need help deleting some files I created by mistake;,berry,9/11/17 13:33,13:33:01,Needed help deleting a file 
144,20170911,HW1,30,I believe i have a logic error,berry,9/11/17 13:50,13:50:04,had a logic error when calculating bill for hw 1 part 6
362,20170911,HW1,15,have a logical error in my outputs,coconut,9/11/17 14:07,14:07:13,using concatenate operator & addition in same places
586,20170911,Other,30,I have trouble downloading puTTy; I try following the video but parts of it do not match what it says on my laptop;,coconut,9/11/17 14:38,14:38:04,needed help installing putty
504,20170911,HW1,15,Initiating the homework ,mango,9/11/17 15:09,15:09:30,Help finding the syllabus quiz
224,20170911,HW1,5,Checking HW1 completion and requirements,daikon,9/11/17 16:31,16:31:23,just wanted to check things like syntax
190,20170912,HW1,15,I don  t know what to do when your program carries over to the next line; I want to be sure I forwatermeloned it correctly according to the coding standards; ,eggplant,9/12/17 11:55,11:55:06,wanted to know why the lines would not auto tab when using the backslash like in the coding standards
174,20170913,Other,30,Comments and just making sure my programs work correctly,fiddlehead,9/13/17 10:01,10:01:32,asked general questions about commenting and coding standards; Wanted his work checked
174,20170913,Concept,5,How do you check your submission went through,watermelon,9/13/17 10:13,10:13:31,Asked about the submitls command; wanted to know how to check if submission worked correctly
564,20170913,HW1,30,Program is not outputting the right answer,grape,9/13/17 13:56,13:56:26,Wasn  t using tax and tip as percentages 
340,20170913,HW1,5,My program is not letting me type anything in,horseradish,9/13/17 15:46,15:46:38,Accidentally created a directory instead of a file; so couldn  t type in it;
274,20170914,HW1,5,first HW submitting help,iceberg lettuce,9/14/17 11:01,11:01:36,Defining main and calling main in their HW
437,20170914,HW1,60,An odd error message keeps popping up when I try to run my code;,jicama,9/14/17 16:44,16:44:29,Help with hw1 directories and files
529,20170914,HW1,15,I would like help in making sure Homework 1 was completed correctly,kale,9/14/17 18:24,18:24:31,hw1 part 6 - taxed tip
292,20170914,HW1,30,I can  t seem to get my variable to print ,lima,9/14/17 18:52,18:52:17,Hw1 int-ify help
511,20170914,HW1,5,I have a couple of simple syntax questions about using the forward slash to continue onto the next line within a program;,lima,9/14/17 18:55,18:55:25,HW1 help with >80 char lines
229,20170915,HW1,15,Doing a final check with a TA on my HW1,lima,9/15/17 10:59,10:59:39,HW1: wanted it to be looked over
504,20170915,HW1,5,Iniatiting homework 1,mango,9/15/17 11:03,11:03:23,Setting up Putty and basic gl stuff
504,20170915,HW1,5,question in reference to question 1,mango,9/15/17 11:34,11:34:15,Understanding print statements
414,20170915,HW1,90,For the different parts of the homework I mistakenly made them directories instead of files so I was wondering if I can change them without starting over;,lima,9/15/17 11:44,11:44:59,Accidentally made subfolders that needed to be emptied and removed
504,20170915,HW1,5,Question in reference 2,mango,9/15/17 11:50,11:50:47,help with input
504,20170915,HW1,5,question in reference to question 2,nectarine,9/15/17 13:16,13:16:01,fire drill
224,20170915,HW1,5,Checking for homework completion,nectarine,9/15/17 13:36,13:36:34,needed help with lab
524,20170915,HW1,60,Homework 1 Part 3 Store variable name from input(),nectarine,9/15/17 13:47,13:47:04,student left
504,20170915,HW1,5,Question in reference to question 3 ,nectarine,9/15/17 13:51,13:51:50,forgot header comments
491,20170915,Lab2,30,Can you check my pre lab 2 for grading (My Ta is nectarine),kale,9/15/17 14:04,14:04:58,nevermind
504,20170915,HW1,5,Question 3,olive,9/15/17 14:25,14:25:10,working on part 4
504,20170915,HW1,5,homework question 4,berry,9/15/17 15:23,15:23:43,Had a syntax error that was on the line above
504,20170915,HW1,15,question 5,berry,9/15/17 15:54,15:54:55,had trouble understanding how to print using strings and variable names
504,20170915,HW1,5,question 5,pepper,9/15/17 16:31,16:31:09,Part 5 wasn  t running; didn  t realize they weren  t running the program
504,20170915,HW1,5,question 6,quince,9/15/17 16:32,16:32:42,needed logical walkthrough of how to calc tip; tax; & cost
504,20170915,HW1,5,question 6,pepper,9/15/17 16:50,16:50:04,logic error; wasn  t dividing percents by 100
555,20170918,HW2,30,"My program outputs None"" when that is not the response I program""",berry,9/18/17 11:14,11:14:05,Wanted help with multiple comnparison statement syntax and using if - elif - else 
555,20170918,HW2,5,"Program outputs None"" when asking user for response""",berry,9/18/17 11:34,11:34:55,Helped him with input synax
362,20170918,Other,30,I did a project in order to review ; but i could not figure out how to mw]ake it work with string;,berry,9/18/17 13:11,13:11:40,not here
246,20170918,HW2,60,Hw1_part2,coconut,9/18/17 14:17,14:17:45,rounding algorithm help
362,20170918,Other,30,help debugging my program about if / elif statement,coconut,9/18/17 14:33,14:33:40,didn  t quite understand if\elif\else structure
246,20170918,HW2,15,hw2 negative numbers part 2,coconut,9/18/17 14:43,14:43:40,whole number checking statement
362,20170918,Other,30,need to delete unwanted folder in the directory,coconut,9/18/17 14:58,14:58:24,needed help removing things
516,20170918,HW2,15,My if statements are not working properly and I am not sure why;,mango,9/18/17 15:02,15:02:19,help with if elif else
516,20170918,HW2,5,My main in my python program is not working;,,,,requested again
340,20170918,HW2,30,A syntax error and simplifying my code,mango,9/18/17 15:09,15:09:41,forgot a parenthesis
362,20170918,Other,5,do we indent after the main method?,mango,9/18/17 15:29,15:29:35,Questions about indentation
340,20170918,HW2,5,My program is stopping before it goes through the rest of the code,mango,9/18/17 15:34,15:34:04,accidental capitalization
516,20170918,HW2,5,Python gl error,mango,9/18/17 15:35,15:35:30,Got stuck in a weird directory
340,20170918,Other,5,Is there a way to find out the number of characters in a line without counting each individual character?,mango,9/18/17 15:46,15:46:47,Quick question about coding standards and # of characters per line
362,20170918,HW2,15,how do we use of and && in python,daikon,9/18/17 16:03,16:03:01,needs to use and
362,20170918,HW2,15,question about using main function,daikon,9/18/17 16:19,16:19:56,asks if all homework parts need to use main
362,20170918,HW2,15,how to used string and if cond,daikon,9/18/17 16:54,16:54:36,missing input
362,20170918,HW2,30,need help ouputing my data using round method,radish,9/18/17 17:06,17:06:43,if statement syntax
311,20170918,HW2,30,Help with nested if statements;,radish,9/18/17 17:21,17:21:32,Improper if-else nesting
208,20170918,HW2,5,i used a structure not cover in class that works can i use it or should i use something else,radish,9/18/17 17:32,17:32:13,Just making sure he was doing it correctly
112,20170918,HW2,60,Changing numbers into integers on hw2part2,radish,9/18/17 18:53,18:53:19,Changing variable colors
555,20170918,HW2,15,Logical error on hw2 part4; want to skip lines in print(),radish,9/18/17 18:00,18:00:40,Needed to use \n for a string
362,20170918,HW2,15,if statemnet used,radish,9/18/17 18:05,18:05:47,Needed help with homework logic
283,20170919,Other,5,How does ls -l work? I can not see my homework bit sizes;,iceberg lettuce,9/19/17 10:56,10:56:07,How to view size of file
500,20170919,Concept,5,Coding standards wise; how do I split up a line in order to make it more readable; especially when it comes to long strings and print statements;,eggplant,9/19/17 11:05,11:05:16,Wanted help confirming how to properly split lines to maintain 80 characters;
242,20170919,HW2,90,My programming logic is not calculating the correct day in a calendar program;,eggplant,9/19/17 11:13,11:13:23,Program was not producing the input he wanted and was looking for some guidance
427,20170919,HW2,30,I want to make sure my logic behind part 3 of HW2 will work for multiple sets of numbers and my code for part 6 only returns one response; ,eggplant,9/19/17 11:23,11:23:07,Forgot to incorporate user input into the math she was using
219,20170919,Lab3,60,My program wasn  t giving the right out put; Even if it met the If condition it would usually decide else and give the second output; Couldnt finish in time to turn in,eggplant,9/19/17 12:51,12:51:33,Came to make sure his lab 3 was correct
358,20170919,HW2,15,I am having trouble figuring out a command that will round up for a given number; ,eggplant,9/19/17 12:54,12:54:12,Wanted to check what commands are allowed to use
116,20170919,HW2,15,How to quickly enter the header comments (probably multi-line copy-paste); And how to properly use a backslash for  long lines of code; ,eggplant,9/19/17 12:57,12:57:05,Wanted to confirm the proper use of the backslash in python code
426,20170919,HW2,30,When I type in a neg float in my program it rounds up and down to the same integer; How do i fix this? Also; another program states an invalid date within my program;,squash,9/19/17 13:00,13:00:35,Asked for help with decision structures to approach negative floats;
358,20170919,HW2,15,I am having trouble figuring the conditions to my program in using if;elif; and else;,squash,9/19/17 13:16,13:16:42,Needed help fixing her decision instructures -- the ordering clashed with each other;
117,20170919,HW2,60,Decision statements ,squash,9/19/17 13:58,13:58:12,Explained to them why their if statement was still printing -- singular variable always evaluated to True
117,20170919,HW2,60,I am stuck ,tomatillo,9/19/17 14:33,14:33:12,Trouble understanding comparison operators
112,20170919,HW2,30,hw2_part2 how to get the originalNum to print out,tomatillo,9/19/17 15:21,15:21:49,Hw2 Rounding; handling rounding for negative numbers 
112,20170919,HW2,15,error in my print,mango,9/19/17 15:37,15:37:24,Question about rounding for negative numbers; special cases
555,20170919,HW2,30,I am having a difficult time trying to figure out how to round a number up,ugli fruit,9/19/17 16:40,16:40:25,Needed help ironing out bugs in rounding up for HW2
112,20170919,HW2,15,can i put an if statement under else,pepper,9/19/17 16:39,16:39:51,hw2_part7; wanted verification they didn  t need another if statement
112,20170919,HW2,60,help part 2 how to get the decimals rounded,pepper,9/19/17 16:47,16:47:27,Program was rounding numbers already entered as ints
555,20170919,HW2,15,Syntax error with if statement and guidance with starting day of the week calculator,ugli fruit,9/19/17 17:30,17:30:12,Needed help fixing syntax error (forgot to close parentheses); helped student think through beginning the day of the week problem
174,20170920,HW2,30,Make sure my part2 and part5 follow the instructions,fiddlehead,9/20/17 9:59,9:59:22,Helped him understand casting floats to integers for truncating
362,20170920,HW2,60,need jelp with if statement and hw2_part5,watermelon,9/20/17 10:07,10:07:40,wanted help figuring out math for part2; and assisted with indentation in if statements; help with logic for part5
174,20170920,HW2,30,hw2_part5,fiddlehead,9/20/17 10:32,10:32:49,Just wanted part 5 checked
200,20170920,HW2,60,I am having trouble with my decision structure in my program;,quince,9/20/17 11:18,11:18:21,help with explaining hint on integrer div
555,20170920,HW2,15,Else statement runs with if statement,quince,9/20/17 11:28,11:28:21,elif and else explained
354,20170920,HW2,15,I don  t understand multi-way decisions ,quince,9/20/17 11:45,11:45:02,not here
516,20170920,HW2,15,Need help with understanding mod and also putty issue,nectarine,9/20/17 13:43,13:43:16,wanted help with mod
503,20170920,HW2,90,hw2,grape,9/20/17 13:47,13:47:18,Didn  t know how if statements work
362,20170920,HW2,30,else stat; output hw_2,horseradish,9/20/17 14:06,14:06:00,Couldn  t figure out how to tell if input was an int;
355,20170920,HW2,30,I don  t understand nesting; And I am having trouble with floats and integers in my code;,horseradish,9/20/17 14:42,14:42:51,Didn  t understand nesting;  Couldn  t detect an integer;
578,20170920,HW2,5,COnfirmation of code,vanilla,9/20/17 14:31,14:31:53,Checking code for homework 2
362,20170920,HW2,5,imput validation with int/ fload,vanilla,9/20/17 14:45,14:45:18,Homework 2 logic
516,20170920,HW2,15,Rounding error i don  t understand,horseradish,9/20/17 14:37,14:37:27,Rounding of negative number has to handled differently from positive number;
555,20170920,HW2,15,Having trouble with print after if statement,horseradish,9/20/17 14:55,14:55:37,Syntax error (elif without a condition)
503,20170920,HW2,30,int; float,horseradish,9/20/17 15:03,15:03:51,Converted input to float instead of int;
190,20170920,HW2,90,I don  t know if my code is right and or redundant for hw2_part2;,horseradish,9/20/17 15:10,15:10:52,Worried about programming style;
362,20170920,HW2,5,casting to string,horseradish,9/20/17 15:20,15:20:35,Major problem with if-elif-else logic;
171,20170920,HW2,15,Im not sure how to approach this problem,horseradish,9/20/17 15:37,15:37:35,Needed a little help with output;
190,20170920,HW2,15,My code was working and now it  s now and I can  t find my error; ,horseradish,9/20/17 15:42,15:42:30,Python 3 was not enabled;
503,20170920,HW2,15,stucture,horseradish,9/20/17 15:58,15:58:59,Logic question;
362,20170920,HW2,5,logical error,olive,9/20/17 16:09,16:09:56,accidentally printing a tuple
503,20170920,HW2,60,sequence,yam,9/20/17 16:38,16:38:26,questions about nesting if statements
362,20170920,HW2,5,have question on the operator to use for hw2 part6,olive,9/20/17 16:41,16:41:16,Starting part 6; understanding mod
535,20170920,HW2,60,I need help handling the negative numbers in part 2 of the homework,olive,9/20/17 16:45,16:45:40,help with spitting cases in part 2
535,20170920,HW2,30,I still need help handling the negative numbers in part 2 of the homework,yam,9/20/17 17:05,17:05:49,using two ifs instead of elif or else
362,20170920,HW2,5,help debugging my output in hw2_part6,yam,9/20/17 17:12,17:12:48,should  ve used or; not and
311,20170920,HW2,30,If statement with a whole integer;,radish,9/20/17 17:20,17:20:29,If loops
535,20170920,HW2,15,I  m having trouble with coming up with what days equal which day of the week in Part 5,yam,9/20/17 17:29,17:29:31,wrong order of vars in part 6
362,20170920,Other,5,what are the tool i can use to prepare for exams such as website practice question or other please;,yam,9/20/17 17:35,17:35:03,Just wanted some advice on how he should practice for this class
412,20170920,HW2,15, I am not sure how to round a number without using the round command;,yam,9/20/17 17:40,17:40:44,how to approach part 2
535,20170920,HW2,15,Need help handling day 31 in Part 5,yam,9/20/17 17:49,17:49:03,misunderstanding of mod results
412,20170920,HW2,5,I  m not sure how to create an if statement for a number being represented as a whole number,radish,9/20/17 17:57,17:57:13,Finding if float is a whole num
408,20170921,Concept,5,how to copy things from outside emacs; also the significance of def main () comand,daikon,9/21/17 11:18,11:18:52,wanted to know how to copy things
376,20170921,HW2,5,I was wondering if certain things that I am putting into my programs are appropriate for the assignment;,daikon,9/21/17 11:22,11:22:58,just wanted to check on a few assignment clarifications
225,20170921,HW2,15,There is a word in the program that I don  t want displayed,daikon,9/21/17 11:29,11:29:15,"input(print(string"")) prints out none"""
414,20170921,HW2,60,I have a syntax error that I can not figure out how to fix,daikon,9/21/17 11:59,11:59:16,missing a paretnthesis
362,20170921,HW2,5,comment; DO we need to comment line by line?,coconut,9/21/17 12:05,12:05:53,answered from bench
414,20170921,HW2,30,I can not figure out how to get my program to round the users input,coconut,9/21/17 12:29,12:29:54,needed to see it in writing
