datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,San Antonio,Dallas,Houston,Kansas City,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta
201301010000,86.67,60.00,58.00,75.00,47.79,62.00,42.00,53.00,30.00,76.68,42.00,70.00,35.00,69.00,69.31,55.00,68.00,55.00
201301010100,86.67,69.00,62.00,80.00,47.79,57.00,42.00,61.00,32.00,76.68,45.00,76.00,35.00,69.00,64.00,64.00,73.00,64.00
201301010200,86.67,69.00,70.00,86.00,43.00,76.00,52.00,70.00,34.00,57.00,45.00,76.00,35.00,69.00,69.00,76.11,79.00,76.03
201301010300,86.00,69.00,70.00,75.71,47.79,62.00,52.00,75.00,34.00,66.00,45.00,76.00,44.00,80.00,69.31,80.00,73.00,86.00
201301010400,86.67,74.00,70.00,75.71,53.00,71.00,52.00,81.00,47.00,93.00,45.00,81.00,44.00,80.00,68.00,86.00,79.00,80.00
201301010500,86.67,75.00,70.00,86.00,46.00,76.00,48.00,75.00,55.00,93.00,45.00,81.00,47.00,74.00,68.00,86.00,79.00,86.00
201301010600,86.67,77.00,73.00,71.00,64.00,90.00,61.00,91.00,44.15,95.00,55.00,81.00,51.00,69.00,69.31,86.00,80.84,76.03
201301010700,86.67,80.00,68.76,93.00,47.79,81.00,45.00,81.00,64.00,100.00,48.00,81.00,47.00,59.00,68.00,92.00,79.00,92.00
201301010800,86.67,79.93,68.76,93.00,52.00,75.00,38.00,81.00,64.00,93.00,48.00,81.00,47.00,55.00,69.31,86.00,74.00,92.00
201301010900,86.67,80.00,61.00,75.71,49.00,75.00,38.00,87.00,64.00,93.00,60.00,87.00,47.00,55.00,69.31,86.00,74.00,86.00
201301011000,86.67,74.00,65.00,86.00,45.00,75.00,38.00,87.00,69.00,93.00,80.00,87.00,47.00,55.00,69.00,86.00,79.00,86.00
201301011100,86.67,74.00,70.00,75.71,70.00,75.00,38.00,81.00,92.00,87.00,86.00,93.00,51.00,59.00,64.00,76.11,79.00,86.00
201301011200,86.67,74.00,75.00,80.00,70.00,75.00,38.00,81.00,44.15,93.00,93.00,87.00,51.00,59.00,55.00,74.00,79.00,92.00
201301011300,86.00,74.00,75.00,92.00,75.00,81.00,38.00,100.00,44.15,93.00,86.00,87.00,51.00,55.00,59.00,76.11,80.84,92.00
201301011400,86.67,80.00,69.00,75.71,86.00,81.00,40.00,100.00,100.00,100.00,86.00,87.00,55.00,64.00,59.00,74.00,80.84,76.03
201301011500,86.00,69.00,65.00,86.00,80.00,80.00,40.00,100.00,44.15,93.00,81.00,87.00,86.00,74.00,64.00,69.00,80.84,74.00
201301011600,86.67,74.00,74.00,86.00,47.79,81.00,40.00,100.00,44.15,93.00,87.00,93.00,86.00,80.00,64.00,64.00,80.84,48.00
201301011700,86.67,69.00,70.00,86.00,49.00,66.00,32.00,100.00,59.00,93.00,87.00,87.00,63.33,86.00,64.00,60.00,74.00,42.00
201301011800,86.67,64.00,52.00,80.00,47.79,66.00,28.00,87.00,55.00,93.00,87.00,93.00,86.00,86.00,59.00,56.00,80.84,37.00
201301011900,86.00,69.00,42.00,74.00,54.00,54.00,26.00,70.00,47.00,93.00,93.00,87.00,86.00,86.00,59.00,56.00,100.00,34.00
201301012000,93.00,74.00,46.00,75.71,47.79,47.00,24.00,57.00,40.00,87.00,93.00,93.00,86.00,86.00,69.31,56.00,80.84,32.00
201301012100,93.00,74.00,40.00,80.00,33.00,47.00,22.00,46.00,35.00,93.00,87.00,93.00,86.00,71.73,69.31,56.00,80.84,32.00
201301012200,93.00,74.00,34.00,75.00,35.00,44.00,21.00,40.00,32.00,93.00,87.00,93.00,63.33,71.73,68.00,65.00,80.84,37.00
201301012300,93.00,80.00,34.00,75.00,41.00,35.00,22.00,40.00,29.00,87.00,87.00,93.00,86.00,71.73,68.00,80.00,80.84,40.00
201301020000,86.00,80.00,43.00,75.00,50.00,41.00,22.00,28.00,34.00,93.00,87.00,93.00,86.00,71.73,68.00,76.11,80.84,43.00
201301020100,86.67,80.00,40.00,75.71,54.00,43.00,28.00,32.00,40.00,93.00,93.00,93.00,79.00,71.73,68.00,76.11,80.84,46.00
201301020200,86.00,74.00,57.00,69.00,66.00,47.00,28.00,41.42,54.00,93.00,93.00,94.00,79.00,71.73,68.00,75.00,80.84,46.00
201301020300,86.67,69.00,61.00,75.71,66.00,54.00,35.00,48.00,63.00,93.00,93.00,94.00,79.00,86.00,68.00,75.00,80.84,76.03
201301020400,86.00,74.00,66.00,75.71,70.00,62.00,40.00,48.00,44.15,93.00,87.00,94.00,79.00,71.73,62.00,75.00,80.84,57.00
201301020500,86.00,86.00,66.00,75.71,76.00,57.00,40.00,52.00,63.00,93.00,87.00,88.00,73.00,71.73,62.00,75.00,100.00,61.00
201301020600,86.67,86.00,75.00,80.00,75.00,53.00,43.00,60.00,63.00,93.00,87.00,88.00,73.00,71.73,62.00,93.00,100.00,65.00
201301020700,86.67,92.00,75.00,80.00,75.00,57.00,47.00,64.00,68.00,93.00,81.00,88.00,79.00,92.00,57.00,93.00,100.00,75.00
201301020800,86.67,92.00,75.00,75.71,75.00,57.00,32.22,69.00,68.00,100.00,75.00,94.00,85.00,86.00,57.00,93.00,92.00,75.00
201301020900,86.67,92.00,81.00,75.71,65.00,61.00,54.00,64.00,68.00,93.00,75.00,94.00,73.00,79.00,62.00,100.00,92.00,75.00
201301021000,86.67,100.00,81.00,75.71,70.00,61.00,54.00,74.00,73.00,93.00,81.00,93.00,73.00,79.00,62.00,93.00,92.00,75.00
201301021100,86.67,92.00,81.00,75.71,70.00,57.00,58.00,74.00,79.00,81.00,81.00,88.00,72.00,79.00,61.00,93.00,86.00,75.00
201301021200,86.67,100.00,81.00,92.00,65.00,57.00,58.00,74.00,73.00,81.00,81.00,93.00,72.00,79.00,61.00,93.00,92.00,75.00
201301021300,86.67,92.00,75.00,92.00,65.00,65.00,54.00,41.42,85.00,87.00,81.00,93.00,72.00,73.00,61.00,93.00,86.00,76.00
201301021400,86.67,92.00,65.00,80.00,65.00,61.00,58.00,41.42,79.00,93.00,81.00,93.00,72.00,73.00,61.00,100.00,85.00,93.00
201301021500,86.67,92.00,65.00,86.00,70.00,65.00,50.00,41.42,73.00,87.00,81.00,87.00,67.00,79.00,52.00,93.00,86.00,100.00
201301021600,92.00,92.00,65.00,86.00,61.00,57.00,54.00,74.00,62.00,93.00,81.00,93.00,61.00,79.00,48.00,93.00,79.00,100.00
201301021700,92.00,100.00,70.00,86.00,57.00,50.00,47.00,60.00,53.00,87.00,80.00,87.00,62.00,79.00,57.00,93.00,74.00,100.00
201301021800,100.00,100.00,65.00,80.00,47.79,52.47,34.00,56.00,50.00,76.00,75.00,87.00,57.00,68.00,53.00,93.00,74.00,100.00
201301021900,100.00,92.00,65.00,69.00,35.00,41.00,32.00,49.00,44.15,76.00,75.00,87.00,57.00,73.00,38.00,93.00,79.00,100.00
201301022000,86.67,86.00,66.00,60.00,35.00,35.00,27.00,46.00,40.00,76.00,70.00,76.00,57.00,73.00,32.00,93.00,79.00,100.00
201301022100,86.67,64.00,57.00,56.00,28.00,41.00,24.00,33.00,37.00,75.00,70.00,76.00,53.00,68.00,30.00,93.00,79.00,100.00
201301022200,86.67,64.00,57.00,75.71,23.00,33.00,20.00,37.00,37.00,70.00,68.56,76.00,45.00,68.00,32.00,93.00,79.00,100.00
201301022300,86.67,60.00,53.00,56.00,21.00,41.00,20.00,37.00,40.00,75.00,69.00,76.00,49.00,62.00,44.00,86.00,85.00,100.00
201301030000,86.67,64.00,54.00,60.00,21.00,44.00,20.00,37.00,44.15,81.00,69.00,76.00,57.00,62.00,48.00,86.00,85.00,100.00
201301030100,86.67,59.00,53.00,69.00,24.00,44.00,24.00,40.00,42.00,81.00,69.00,76.00,53.00,62.00,48.00,93.00,85.00,100.00
