Email Address,Timestamp,What do you need help with today?,How long have you, personally, already spent working on this problem or question?,Time Helped,Time Waited,Notes,Time Done,Time Spent,
316,"2/6/17 14:24","HW1 Part 3","16 - 30 minutes","2/6/17 14:36","0:12:49","Trying to cast string to int","","",""
227,"2/7/17 12:42","HW1, setting up in emacs and getting program to run correctly","> 60 minutes","2/7/17 12:54","0:12:03","Needed def main():/main()","","",""
184,"2/7/17 13:20","HW1","16 - 30 minutes","2/7/17 13:25","0:05:20","Needed commas seperating string and variables","","",""
334,"2/7/17 13:23","HW1","< 5 minutes","2/7/17 13:25","0:02:26","","","",""
337,"2/7/17 13:25","Lab2","6 - 15 minutes","2/7/17 13:32","0:07:02","","","",""
334,"2/7/17 13:29","understanding ","< 5 minutes","2/7/17 13:33","0:04:08","","","",""
137,"2/7/17 14:42","HW1 submitting","< 5 minutes","2/7/17 15:14","0:32:13","Student left","","",""
151,"2/7/17 14:54","hw1 creating assigments ","16 - 30 minutes","2/7/17 15:07","0:12:33","","","",""
151,"2/7/17 15:27","hw1","6 - 15 minutes","2/7/17 15:35","0:07:44","","","",""
151,"2/7/17 15:39","hw1","6 - 15 minutes","2/7/17 15:40","0:00:54","Help with basic concepts (had missed class?)","","",""
151,"2/8/17 14:22","hw1","16 - 30 minutes","2/8/17 14:45","0:23:34","Help debugging","","",""
184,"2/8/17 14:47","HW1","6 - 15 minutes","2/8/17 14:47","0:00:34","Syntax and casting","","",""
151,"2/8/17 14:56","hw1","6 - 15 minutes","2/8/17 14:58","0:01:14","Print syntax","","",""
215,"2/8/17 15:02","HW1","6 - 15 minutes","2/8/17 15:06","0:04:10","GL directory issues","","",""
111,"2/8/17 15:13","HW1","16 - 30 minutes","2/8/17 15:30","0:17:01","Casting input to integer","","",""
320,"2/8/17 15:44","HW1 ","16 - 30 minutes","2/8/17 15:51","0:07:01","","","",""
160,"2/9/17 12:06","HW1","6 - 15 minutes","2/9/17 12:08","0:01:55","Help using ITE 240 computer","","",""
130,"2/9/17 14:37","HW1","16 - 30 minutes","2/9/17 14:43","0:06:09","Needed help with basically everything","","",""
130,"2/9/17 15:40","Hw1 ","6 - 15 minutes","2/9/17 15:53","0:12:35","GL/emacs help, how to get started on hw1_part2","","",""
253,"2/9/17 15:59","problem with directory location","16 - 30 minutes","2/9/17 15:59","0:00:21","GL/terminal help","","",""
337,"2/9/17 16:36","Hw1, Part 1","16 - 30 minutes","2/9/17 16:40","0:03:35","Wanted confirmation that program worked correctly","","",""
337,"2/9/17 17:22","HW1 , part 2","31 - 60 minutes","2/9/17 17:26","0:03:27","Wanted confirmation that program worked correctly","","",""
337,"2/9/17 17:29","Post-Submitting; my file contents","< 5 minutes","2/9/17 17:29","0:00:33","Said nevermind as soon as I stood up","","",""
158,"2/10/17 10:13","Question about HW1","6 - 15 minutes","2/10/17 10:13","0:00:22","Wanted confirmation that their .py files were not directories.","","",""
171,"2/10/17 14:04","Hw1","6 - 15 minutes","2/10/17 14:06","0:02:04","Questions on submiting and deleting files","","",""
171,"2/10/17 14:06","HW1","> 60 minutes","2/10/17 14:06","0:00:22","Not storing expression in  variable","","",""
116,"2/10/17 14:07","HW1","6 - 15 minutes","2/10/17 14:10","0:02:34","Simple syntax error","","",""
171,"2/10/17 14:34","HW1","< 5 minutes","2/10/17 14:35","0:00:30","Comma was in string when trying to seperate arguments in print()","","",""
183,"2/10/17 14:36","HW1_PART3","16 - 30 minutes","2/10/17 14:37","0:00:27","using int(input( for a string","","",""
313,"2/10/17 15:43","submitting","31 - 60 minutes","2/10/17 15:44","0:00:21","Had problems with files/directories, deleting stuff, etc","","",""
316,"2/13/17 14:21","HW2 Part 4 Day of the week given an integer","6 - 15 minutes","2/13/17 14:28","0:07:46","Needed help checking if invalid in last part of HW","","",""
369,"2/13/17 14:57","HW2 commenting ","16 - 30 minutes","2/13/17 15:00","0:03:35","Was curious about how much commenting was acceptable","","",""
310,"2/14/17 13:12","hw2_part4","31 - 60 minutes","2/14/17 13:17","0:04:49","Did HW4 with math and wanted to know if it was ok (sent to Gibson)","","",""
184,"2/14/17 13:15","HW2","6 - 15 minutes","2/14/17 13:26","0:11:27","Needed help understanding decision making","","",""
335,"2/14/17 14:23","HW2","6 - 15 minutes","2/14/17 14:36","0:12:55","Didn't know you could have many if-else staements","","",""
173,"2/14/17 14:46","HW2","16 - 30 minutes","2/14/17 14:48","0:02:40","Figuring out flowchat for program","","",""
155,"2/14/17 15:31","HW2","31 - 60 minutes","2/14/17 15:39","0:08:04","Typing space before input","","",""
173,"2/14/17 15:40","HW2","6 - 15 minutes","2/14/17 15:45","0:05:04","confused ob methodlogy of asking","","",""
155,"2/14/17 15:57","HW2","6 - 15 minutes","2/14/17 15:58","0:01:28","Formatting question","","",""
335,"2/14/17 19:03","HW2","6 - 15 minutes","2/14/17 19:03","0:00:07","Confused about if/elif/else blocks","","",""
335,"2/14/17 19:17","HW2","16 - 30 minutes","2/14/17 19:17","0:00:09","confused about code design","","",""
335,"2/14/17 19:36","hw2","16 - 30 minutes","2/14/17 19:36","0:00:06","","","",""
169,"2/15/17 11:09","Hw2 Part 4","16 - 30 minutes","2/15/17 13:00","","created help request from home/dorm (not here); help with mod","","",""
174,"2/15/17 13:07","submitting","< 5 minutes","2/15/17 13:09","0:01:59","Not my student, wanted to get point back on lab.","","",""
