Username,Timestamp,Events,Time Spent,Time Helped
316,20170206,HW1,30,Trying to cast string to int
227,20170207,HW1,90,Needed def main():/main()
184,20170207,HW1,30,Needed commas seperating string and variables
334,20170207,HW1,5,
337,20170207,LAB2,15,
334,20170207,OTHERS,5,
137,20170207,HW1,5,Student left
151,20170207,HW1,30,
151,20170207,HW1,15,
151,20170207,HW1,15,Help with basic concepts (had missed class?)
151,20170208,HW1,30,Help debugging
184,20170208,HW1,15,Syntax and casting
151,20170208,HW1,15,Print syntax
215,20170208,HW1,15,GL directory issues
111,20170208,HW1,30,Casting input to integer
320,20170208,HW1,30,
160,20170209,HW1,15,Help using ITE 240 computer
130,20170209,HW1,30,Needed help with basically everything
130,20170209,HW1,15,"GL/emacs help, how to get started on hw1_part2"
253,20170209,OTHERS,30,GL/terminal help
337,20170209,HW1,30,Wanted confirmation that program worked correctly
337,20170209,HW1,60,Wanted confirmation that program worked correctly
337,20170209,OTHERS,5,Said nevermind as soon as I stood up
158,20170210,HW1,15,Wanted confirmation that their .py files were not directories.
171,20170210,HW1,15,Questions on submiting and deleting files
171,20170210,HW1,90,Not storing expression in  variable
116,20170210,HW1,15,Simple syntax error
171,20170210,HW1,5,Comma was in string when trying to seperate arguments in print()
183,20170210,HW1,30,using int(input( for a string
313,20170210,OTHERS,60,"Had problems with files/directories, deleting stuff, etc"
316,20170213,HW2,15,Needed help checking if invalid in last part of HW
369,20170213,HW2,30,Was curious about how much commenting was acceptable
310,20170214,HW2,60,Did HW4 with math and wanted to know if it was ok (sent to Gibson)
184,20170214,HW2,15,Needed help understanding decision making
335,20170214,HW2,15,Didn't know you could have many if-else staements
173,20170214,HW2,30,Figuring out flowchat for program
155,20170214,HW2,60,Typing space before input
173,20170214,HW2,15,confused ob methodlogy of asking
155,20170214,HW2,15,Formatting question
335,20170214,HW2,15,Confused about if/elif/else blocks
335,20170214,HW2,30,confused about code design
335,20170214,HW2,30,
169,20170215,HW2,30,created help request from home/dorm (not here); help with mod
174,20170215,OTHERS,5,"Not my student, wanted to get point back on lab."
169,20170215,HW2,30,Wanted to make sure homework was done correctly.
297,20170215,HW2,15,Had questions about if statments
151,20170215,HW2,90,Was missing colons at the end of if statements
151,20170215,HW2,15,Forgot to enable bash 
155,20170215,HW2,30,False alarm! But she forgot Sunday and Saturday in part 4
151,20170215,HW2,15,Over complicating part 2 of the homework 
155,20170215,HW2,15,Trying to figure out the modulus operator 
151,20170215,HW2,15,
120,20170215,HW2,60,showed up 5 minutes later (not here)
257,20170215,HW2,60,
151,20170216,HW3,30,Dog question structure
302,20170216,HW2,30,"confusion between input and print. Understood math, couldnt understood where to go with program though."
151,20170216,HW3,30,
151,20170216,HW2,30,Just a sanity check
130,20170216,HW2,15,"trouble with decision statements and comparing - logic is all right, actually coding it is hard"
173,20170216,HW2,30,used wrong variable names
138,20170216,HW2,60,"needed help with how to get min, hour, day from user inupt"
302,20170216,HW2,30,how to get started on the dog question (hw2_part2)
253,20170216,HW2,90,"had every possible day checked for (and knew he shouldn't), advised to use mod"
171,20170217,HW2,90,Needed help with what operator to use for hw2_part4
274,20170217,HW2,60,not here
171,20170217,HW2,30,not sure how to use % in part 4
130,20170217,HW2,30,Help with general syntax of python
171,20170217,HW2,30,asking the user minimum questions - branching
130,20170217,HW2,30,didnt know what to do next - branching
130,20170217,HW2,15,"branching, modulus (%), filesystem "
274,20170217,HW2,60,He needed help with moving files out of directories he made accidentally 
274,20170217,HW2,30,was having trouble with if's
316,20170220,HW3,15,didn't understand problem
121,20170220,HW3,90,Needed help figuring out logic for HW3 part 4
316,20170220,HW3,15,needed help keeping track of answer for part2 and getting started part4
369,20170220,OTHERS,30,put a comment on every single line; told to only comment loops and large blocks
151,20170221,HW3,15,Needed help with structuring code
151,20170221,HW3,60,requested again
305,20170221,HW3,30,confused on multiple conditions for while
151,20170221,HW3,15,putting psudeocode to code
305,20170221,HW3,15,Student left (didn't respond?)
151,20170221,HW3,15,Confused on what was in the while loop
151,20170221,HW3,15,Couple of logic errors
305,20170221,HW3,30,syntax error
358,20170221,HW3,60,"syntax error, > vs >="
305,20170221,HW3,30,"logic error, < vs >"
335,20170221,LAB3,60,showed lab3 (didnt finish) and question about hw3
227,20170222,HW3,90,hw3 clarifications
158,20170222,LAB4,30,confused on while loop conditions
278,20170222,HW3,90,issue with conditions on hw3 p2 and p4
102,20170222,HW4,90,confused about indenting & code belonging to blocks
102,20170222,HW3,30,Incorrect order of action within a sent. loop
278,20170222,HW3,90,"manipulating print statments/ end =  """""
118,20170222,HW3,90,"manipulating print statments/ end =  """""
124,20170222,HW3,90,cleaning file directory and homework parameter clarification
173,20170222,HW3,90,Needed help thinking through part 2
173,20170222,HW3,30,Needed help thinking through part 3 and what to use for the while loop
151,20170222,OTHERS,30,Needed to be walked through lab 3
184,20170222,HW3,60,Needed help with the hailstone problem 
155,20170222,HW3,15,"Created a directory instead of a file, wanted to know about comments, and questionable This works but I don't know why it works"
