Username,Timestamp,Events,Time Spent,Time Helped
316,2/6/2017 14:24,HW1,3,Trying to cast string to int
227,2/7/2017 12:42,HW1,5,Needed def main():/main()
184,2/7/2017 13:20,HW1,3,Needed commas seperating string and variables
334,2/7/2017 13:23,HW1,1,
337,2/7/2017 13:25,LAB2,2,
334,2/7/2017 13:29,OTHERS,1,
137,2/7/2017 14:42,HW1,1,Student left
151,2/7/2017 14:54,HW1,3,
151,2/7/2017 15:27,HW1,2,
151,2/7/2017 15:39,HW1,2,Help with basic concepts (had missed class?)
151,2/8/2017 14:22,HW1,3,Help debugging
184,2/8/2017 14:47,HW1,2,Syntax and casting
151,2/8/2017 14:56,HW1,2,Print syntax
215,2/8/2017 15:02,HW1,2,GL directory issues
111,2/8/2017 15:13,HW1,3,Casting input to integer
320,2/8/2017 15:44,HW1,3,
160,2/9/2017 12:06,HW1,2,Help using ITE 240 computer
130,2/9/2017 14:37,HW1,3,Needed help with basically everything
130,2/9/2017 15:40,HW1,2,"GL/emacs help, how to get started on hw1_part2"
253,2/9/2017 15:59,OTHERS,3,GL/terminal help
337,2/9/2017 16:36,HW1,3,Wanted confirmation that program worked correctly
337,2/9/2017 17:22,HW1,4,Wanted confirmation that program worked correctly
337,2/9/2017 17:29,OTHERS,1,Said nevermind as soon as I stood up
158,2/10/2017 10:13,HW1,2,Wanted confirmation that their .py files were not directories.
171,2/10/2017 14:04,HW1,2,Questions on submiting and deleting files
171,2/10/2017 14:06,HW1,5,Not storing expression in  variable
116,2/10/2017 14:07,HW1,2,Simple syntax error
171,2/10/2017 14:34,HW1,1,Comma was in string when trying to seperate arguments in print()
183,2/10/2017 14:36,HW1,3,using int(input( for a string
313,2/10/2017 15:43,OTHERS,4,"Had problems with files/directories, deleting stuff, etc"
316,2/13/2017 14:21,HW2,2,Needed help checking if invalid in last part of HW
369,2/13/2017 14:57,HW2,3,Was curious about how much commenting was acceptable
310,2/14/2017 13:12,HW2,4,Did HW4 with math and wanted to know if it was ok (sent to Gibson)
184,2/14/2017 13:15,HW2,2,Needed help understanding decision making
335,2/14/2017 14:23,HW2,2,Didn't know you could have many if-else staements
173,2/14/2017 14:46,HW2,3,Figuring out flowchat for program
155,2/14/2017 15:31,HW2,4,Typing space before input
