date,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta
201301010000,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
201301010100,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95
201301010200,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90
201301010300,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85
201301010400,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80
201301010500,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75
201301010600,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70
201301010700,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65
201301010800,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60
201301010900,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55
201301011000,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50
201301011100,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45
201301011200,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40
201301011300,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35
201301011400,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30
201301011500,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25
201301011600,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20
201301011700,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15
201301011800,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10
201301011900,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5
201301012000,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0
201301012100,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5
201301012200,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10
201301012300,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15
201301020000,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20
201301020100,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25
201301020200,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30
201301020300,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35
201301020400,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40
201301020500,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45
201301020600,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50
201301020700,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55
201301020800,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60
201301020900,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65
201301021000,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70
201301021100,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75
201301021200,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
201301021300,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
201301021400,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
201301021500,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
201301021600,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
201301021700,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95
201301021800,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90
