date,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver
2.01301E+11,275.04,277.39,284.65,276.09,284.81,283.73,280.43,283.01,275.76,270.85
2.01301E+11,274.26,275.54,283.37,275.55,283.82,282.1,279.1,281.95,274.73,269.92
2.01301E+11,274.14,274.29,281.17,274.85,283.06,281.33,278.33,280.9,274.75,270.12
2.01301E+11,274.42,273.42,280.45,274.6,282.48,281.19,277.57,280.74,273.54,269.48
2.01301E+11,273.6,272.89,279.99,274.1,281.97,280.58,276.77,280.48,274.24,267.6
2.01301E+11,274.16,272.18,279.3,273.89,281.89,279.83,277.36,279.79,273.34,267.05
2.01301E+11,273.62,271.79,278.96,273.77,280.04,278.5,277.08,279.05,272.56,266.84
2.01301E+11,274.12,271.39,278.9,273.05,280.94,278.72,277.69,279.25,272.73,265.37
2.01301E+11,274.12,271.21,278.82,273.15,279.86,278.32,277.51,279.3,271.99,265.23
2.01301E+11,273.96,271.45,278.04,273.19,279.77,278.13,276.85,278.84,272.34,265.83
2.01301E+11,273.65,271.97,277.25,273.23,279.22,277.97,276.46,278.84,271.97,265.29
2.01301E+11,273.59,272.24,276.92,272.91,278.79,277.56,275.4,278.36,271.44,266.05
2.01301E+11,273.52,272.67,276.68,273.12,278.25,276.87,274.55,277.57,271.55,265.75
2.01301E+11,273.77,272.33,276.53,272.89,278.34,276.68,274.67,277.08,271.16,264.87
2.01301E+11,273.89,272.32,276.36,272.98,277.77,276.02,274.3,276.84,270.61,264.19
2.01301E+11,273.56,272.8,276.42,273.28,278.2,277.05,274.42,277.05,270.87,263.79
2.01301E+11,273.68,273.07,275.97,273.36,279.3,278.58,275.69,278.93,271.4,264.95
2.01301E+11,274.15,273.27,279.1,273.75,282.44,282.14,277.14,280.53,272.15,266.3
2.01301E+11,274.51,273.76,281.66,274.56,284.55,283.83,278.87,281.68,273.24,267.03
2.01301E+11,274.68,274.2,282.39,275.18,285.16,285.8,279.67,283.12,274.01,268.08
2.01301E+11,275.16,274.28,282.94,275.65,286.07,286.67,280.3,283.81,274.33,268.41
2.01301E+11,275.59,274.53,283.25,275.94,287.08,287.44,280.85,284.7,274.6,268.58
2.01301E+11,276.06,274.58,283.47,276.48,287.2,287.38,281.12,284.58,274.46,267.4
2.01301E+11,275.92,274.79,283.78,276.58,287.17,287.14,280.67,284.83,273.63,267.59
2.01301E+11,275.14,274.4,283.36,275.96,286.35,285.83,279.88,284.11,273,266.86
