date,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2016-1-1T0Z,74,47,69,70,17,28,22,21,39,59,54,61,62,64,72,74,79,64,86,81,91,83,93,78,78,69,82,65,74,61,100,93,100,100,100,93
2016-1-1T1Z,78,47,74,86,22,38,22,26,41,67,53,61,61,64,72,74,79,64,86,81,91,83,92,78,86,70,82,73,74,59,100,88,100,100,100,91
2016-1-1T2Z,100,59,85,92,33,59,34,42,47,61,53,64,61,73,78,78,89,70,86,85,90,88,92,86,80,86,82,100,74,79,100,62,100,100,100,62
2016-1-1T3Z,97,55,80,92,21,53,24,30,47,67,57,70,81,86,78,80,79,69,79,87,89,100,100,83,86,85,82,89,74,69,100,63,96,97,97,62
2016-1-1T4Z,86,55,77,72,27,61,26,29,57,69,57,70,76,63,78,80,73,69,79,93,74,88,71,100,86,74,81,56,79,64,100,71,67,81,81,71
2016-1-1T5Z,89,55,74,50,34,70,29,28,68,72,56,70,75,63,78,79,73,69,79,92,74,88,71,99,86,75,81,70,80,64,100,75,74,85,85,74
2016-1-1T6Z,92,55,80,100,32,79,29,35,79,78,57,60,76,68,85,80,73,69,73,75,68,94,71,100,74,69,60,56,79,64,100,66,62,81,81,66
2016-1-1T7Z,92,55,74,79,32,78,31,37,85,78,61,75,76,73,92,80,73,69,85,93,63,100,66,100,74,74,69,60,79,69,100,54,58,61,61,54
2016-1-1T8Z,92,56,75,80,33,77,32,38,85,76,60,75,74,73,91,79,75,69,85,92,64,99,67,100,74,74,69,60,74,71,100,50,55,70,70,50
2016-1-1T9Z,92,55,80,85,31,78,31,37,73,78,61,80,76,68,79,80,62,69,85,93,68,100,71,94,74,74,74,60,76,64,99,52,53,70,70,51
2016-1-1T10Z,92,55,74,100,33,77,34,40,85,78,80,80,75,68,85,92,67,69,85,87,74,100,81,100,74,74,74,64,86,64,99,71,46,75,75,71
2016-1-1T11Z,85,50,64,92,31,56,34,55,85,78,75,64,81,68,85,68,73,69,85,75,68,94,87,88,74,74,60,59,86,69,99,62,41,75,75,62
2016-1-1T12Z,92,56,68,94,31,62,34,56,81,75,99,64,75,68,85,68,73,69,85,86,74,100,87,100,74,79,69,60,86,64,99,76,36,81,81,62
2016-1-1T13Z,100,73,80,100,31,77,34,55,73,71,100,74,75,73,85,68,67,74,79,80,73,88,87,88,74,68,55,55,92,69,99,66,50,70,70,81
2016-1-1T14Z,100,74,74,63,28,79,34,43,63,77,100,69,81,79,85,68,73,69,79,86,86,88,76,78,68,92,69,60,92,64,98,81,41,81,81,81
2016-1-1T15Z,100,74,59,79,30,39,31,55,85,65,70,74,81,73,79,68,68,74,79,70,92,88,70,74,58,80,52,60,86,59,98,66,41,75,75,66
2016-1-1T16Z,85,58,69,100,28,36,31,33,79,61,61,60,70,68,73,66,79,69,73,75,86,78,53,65,59,74,65,52,90,55,97,81,44,100,100,81
2016-1-1T17Z,100,58,70,100,27,35,31,33,79,60,57,56,70,84,73,59,73,59,79,75,86,93,46,62,58,79,64,52,87,55,98,76,44,100,100,76
2016-1-1T18Z,100,67,64,55,23,16,27,28,58,41,57,55,69,83,68,58,73,58,78,75,79,93,46,62,58,79,63,54,85,55,98,75,44,100,100,75
2016-1-1T19Z,100,47,69,44,14,20,22,24,54,26,65,45,66,55,58,51,74,48,73,75,79,100,46,65,50,80,60,60,80,59,98,71,47,100,100,70
2016-1-1T20Z,92,47,42,44,14,17,22,28,58,52,65,45,66,51,68,51,68,45,63,81,79,88,53,69,50,74,60,55,80,51,98,76,47,100,100,70
2016-1-1T21Z,80,46,47,43,13,17,22,28,59,43,65,45,66,48,68,52,74,42,73,61,77,88,57,65,51,68,55,48,80,53,98,66,47,100,100,66
2016-1-1T22Z,83,44,64,41,12,18,22,30,63,20,65,45,66,48,68,51,74,42,73,61,74,87,57,65,55,68,55,48,80,59,97,66,54,100,100,66
