Date,Description,Total
20170831,SUR1,5
20170901,SUR2,5
20170902,SUR3,5
20170903,SUR4,5
20170908,LAB1,10
20170914,LAB2,10
20170915,HW1,40
20170921,LAB3,10
20170922,HW2,40
20170928,LAB4,10
20170929,HW3,40
20171005,LAB5,10
20171006,HW4,40
20171012,LAB6,10
20171013,HW5,40
20171017,Project Design,0
20171018,LAB7,10
20171019,Midterm,200
20171026,LAB8,10
20171027,PROJ1,80
20171102,LAB9,10
20171109,LAB10,10
20171110,PROJ2,80
20171116,LAB11,10
20171121,HW6,40
20171130,LAB12,10
20171207,LAB13,10
20171208,PROJ3,80
20171215,Final,200
